"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0080855L","CS PROMOTION PROFESSIONNELLE","LYCEE SEVIGNE","14 RUE MADAME DE SEVIGNE","CHARLEVILLE MEZIERES",8,8000
"0090036R","LYCEE GENERAL PRIVE","NOTRE-DAME","3 PLACE DES CORDELIERS","PAMIERS",9,9100
"0021884M","GRETA GRAND LAONNOIS THIERACHE","LYCÉES P. MÉCHAIN - J. CURIE","17  RUE LÉO LAGRANGE","LAON CEDEX",2,2011
"0071237G","LYCEE PROF.AGRICOLE PRIVE","LYCEE PROF PRIVE AGRICOLE","AVENUE VICTOR TASSIN","ST PERAY",7,7130
"0071239J","LYCEE PROFESSIONNEL AGRICOLE","LA PELISSIERE VALLEE DU RHONE","4  RUE DU REPOS","TOURNON SUR RHONE",7,7300
"0110019L","LYCEE POLYVALENT","JACQUES RUFFIE","ESPLANADE FRANCOIS MITTERAND","LIMOUX CEDEX",11,11303
"0110023R","LYCEE POLYVALENT","LOUISE MICHEL","2 rue JEAN MOULIN","NARBONNE CEDEX",11,11108
"0110027V","LYCEE PROFESSIONNEL",,"1  AVENUE EDOUARD HERRIOT","QUILLAN",11,11500
"0100687T","LYCEE GEN.ET TECHNOL.AGRICOLE","FORESTIER DE CROGNY","RUE DES ETANGS","LES LOGES MARGUERON",10,10210
"0121319U","LYCEE TECHNOLOGIQUE PRIVE","SAINTE-FOY","17 AVENUE CABROL","DECAZEVILLE",12,12300
"0110669T","LYCEE GEN.ET TECH. AGRICOLE","CHARLEMAGNE","ROUTE DE SAINT HILAIRE","CARCASSONNE",11,11000
"0061866W","LYCEE GENERAL PRIVE","SAINT JOSEPH","14 RUE BARLA","NICE",6,6300
"0081047V","LPO LYCEE DES METIERS","BAZEILLES","Parc DU CHATEAU DE MONTVILLERS","SEDAN CEDEX",8,8206
"0110671V","LYCEE D ENS.PROF.AGRICOLE",,"62 AVENUE BUNAU VARILLA","CARCASSONNE",11,11000
"0061394H","LYCEE PROFESSIONNEL PRIVE","LES FAUVETTES","44 AVENUE JEAN DE NOAILLES","CANNES",6,6400
"0060793E","LYCEE GEN.ET TECHNOL.AGRICOLE","AGRICOLE ET HORTICOLE","1285 AVENUE JULES GREC","ANTIBES",6,6600
"0061575E","LYCEE TECHNOLOGIQUE PRIVE","STANISLAS","1 PLACE STANISLAS","CANNES CEDEX",6,6403
"0120051R","LYCEE GENERAL ET TECHNO. PRIVE","JEANNE D'ARC","3 PLACE DU MANDAROUS","MILLAU CEDEX",12,12104
"0120052S","LYCEE GENERAL PRIVE","IMMACULEE CONCEPTION","RUE AUZUECH","ESPALION",12,12500
"0120054U","LYCEE GENERAL ET TECHNO. PRIVE","SAINTE-FOY","17 AVENUE CABROL","DECAZEVILLE",12,12300
"0120058Y","LYCEE GENERAL PRIVE","SAINTE-PROCULE","22 BOULEVARD DENYS PUECH","RODEZ",12,12000
"0120059Z","LYCEE GENERAL ET TECHNO. PRIVE","SAINT-GABRIEL","23  RUE LAMARTINE","ST AFFRIQUE CEDEX",12,12402
"0120061B","LYCEE GENERAL ET TECHNO. PRIVE","SAINT-JOSEPH","AVENUE ETIENNE SOULIE","VILLEFRANCHE DE ROUERGUE",12,12200
"0110012D","LYCEE POLYVALENT","JEAN DURAND","Avenue DOCTEUR LAENNEC","CASTELNAUDARY CEDEX",11,11493
"0110013E","LP LYCEE DES METIERS","FRANCOIS ANDREOSSY","1 rue SAINT FRANCOIS","CASTELNAUDARY CEDEX",11,11494
"0100078F","LYCEE PROFESSIONNEL PRIVE","JEANNE MANCE","RUE DU PARADIS","TROYES",10,10000
"0110045P","LYCEE POLYVALENT PRIVE","SAINT LOUIS","77  RUE AIME RAMOND","CARCASSONNE",11,11000
"0061478Z","LPO LYCEE DES METIERS","LEONARD DE VINCI","214 RUE JEAN JOANNON","ANTIBES CEDEX",6,6633
"0130164H","LYCEE GENERAL ET TECHNOLOGIQUE","ALPHONSE DAUDET","5  BOULEVARD JULES FERRY","TARASCON CEDEX",13,13158
"0100059K","LYCEE TECHNOLOGIQUE PRIVE","LA SALLE","21 rue DU CLOITRE ST ETIENNE","TROYES",10,10000
"0100063P","LYCEE PROFESSIONNEL PRIVE","LEONIE AVIAT","3  RUE ETIENNE PEDRON","TROYES",10,10000
"0130171R","LP LYCEE DES METIERS","CHARLES PRIVAT","10 rue LUCIEN GUINTOLI","ARLES CEDEX",13,13632
"0130172S","LYCEE PROFESSIONNEL","LEONARD DE VINCI","8  RUE DU REMPART","MARSEILLE",13,13007
"0070021K","LYCEE POLYVALENT","VINCENT D 'INDY","9 boulevard DU LYCEE","PRIVAS CEDEX",7,7006
"0080838T","LYCEE PROFESSIONNEL","PAUL VERLAINE","19 RUE NORMANDIE NIEMEN","RETHEL CEDEX",8,8305
"0133303V","LYCEE PROFESSIONNEL PRIVE","PASTRE - GRANDE BASTIDE","20  AVENUE GDE BASTIDE","MARSEILLE",13,13009
"0133304W","LYCEE PROFESSIONNEL PRIVE","PERRIMOND JEANNE","244 CHEMIN DU ROUCAS BLANC","MARSEILLE",13,13007
"0120096P","LP LYCEE DES METIERS","DU BATIMENT","2 AVENUE DU LYCEE","AUBIN",12,12110
"0120104Y","LYCEE GENERAL ET TECHNO. PRIVE","SAINT-JOSEPH","1 RUE SARRUS","RODEZ",12,12000
"0120111F","LYCEE PROFESSIONNEL PRIVE",,"RUE AUZUECH","ESPALION",12,12500
"0080008R","LPO LYCEE DES METIERS","FRANCOIS BAZIN","145 avenue CHARLES DE GAULLE","CHARLEVILLE MEZIERES CEDEX",8,8013
"0080006N","LYCEE GENERAL","CHANZY","13  RUE DELVINCOURT","CHARLEVILLE MEZIERES",8,8000
"0080007P","LYCEE GENERAL ET TECHNOLOGIQUE","SEVIGNE","14  RUE MADAME DE SEVIGNE","CHARLEVILLE MEZIERES CEDEX",8,8013
"0071231A","LYCEE PROFESSIONNEL AGRICOLE","D'ANNONAY",,"ANNONAY",7,7100
"0071233C","LYCEE PROF.AGRICOLE PRIVE","CTRE DE FORM FEM LES BLES D OR",,"CHALENCON",7,7240
"0101015Z","LYCEE PROF PRIVE DES METIERS","LA SALLE","21 rue DU CLOITRE ST ETIENNE","TROYES",10,10000
"0101016A","LYCEE GENERAL ET TECHNOLOGIQUE","EDOUARD HERRIOT","Rue LA MALADIERE","LA CHAPELLE ST LUC",10,10600
"0080018B","LYCEE GENERAL","VAUBAN","15 rue ANDRE BOUSY","GIVET",8,8600
"0110053Y","LYCEE PROFESSIONNEL PRIVE","SAINT-FRANCOIS","2 RUE DES AMIDONNIERS","CARCASSONNE",11,11000
"0131747D","LYCEE POLYVALENT","AUGUSTE ET LOUIS LUMIERE","Avenue JULES FERRY","LA CIOTAT",13,13600
"0121288K","LYCEE PROF.AGRICOLE PRIVE",,"208 RUE DES SAULES","BARAQUEVILLE",12,12160
"0121291N","LYCEE PROF.AGRICOLE PRIVE","HORTICOLE DE RIGNAC","ROUTE DE VILLEFRANCHE","RIGNAC",12,12390
"0133280V","LYCEE PROF PRIVE des METIERS","ST ELOI","9  AVENUE JULES ISAAC","AIX EN PROVENCE CEDEX 1",13,13626
"0133282X","LYCEE PROFESSIONNEL PRIVE","HENRI LEROY","1 rue DES ECOLES","PORT ST LOUIS DU RHONE",13,13230
"0080081V","LYCEE GENERAL PRIVE","MABILLON","23 avenue MARTYRS DE LA RESISTAN","SEDAN CEDEX",8,8201
"0080082W","LYCEE POLYVALENT PRIVE","SAINT PAUL","6  PLACE WINSTON CHURCHILL","CHARLEVILLE MEZIERES",8,8000
"0133286B","LYCEE TECHNOLOGIQUE PRIVE","BELSUNCE","13  RUE FAUCHIER","MARSEILLE",13,13002
"0133288D","LYCEE POLYVALENT","JEAN MONNET","AVENUE RHIN ET DANUBE","VITROLLES",13,13127
"0120037A","LP LYCEE DES METIERS","ALEXIS MONTEIL","14  RUE CARNUS","RODEZ CEDEX 9",12,12034
"0131606A","LP LYCEE DES METIERS","CALADE (LA)","430  CHEMIN DE LA MADRAGUE VILLE","MARSEILLE",13,13015
"0060020P","LYCEE GENERAL ET TECHNOLOGIQUE","AMIRAL DE GRASSE","20 AVENUE SAINTE LORETTE","GRASSE",6,6130
"0060040L","LYCEE PROFESSIONNEL","PASTEUR","25  RUE DU PROFESSEUR DELVALLE","NICE",6,6000
"0060042N","LYCEE PROFESSIONNEL","LES PALMIERS","15 avenue BANCO","NICE",6,6300
"0080091F","LYCEE POLYVALENT PRIVE","NOTRE-DAME",1,"CHARLEVILLE MEZIERES",8,8000
"0110677B","LYCEE GEN.ET TECH. AGRICOLE","PIERRE PAUL RIQUET","935 AVENUE DU DOCTEUR LAENNEC","CASTELNAUDARY CEDEX",11,11491
"0130049H","LYCEE GENERAL ET TECHNOLOGIQUE","REMPART (RUE DU)","1 rue DU REMPART","MARSEILLE",13,13007
"0130050J","LYCEE POLYVALENT","DENIS DIDEROT","23 boulevard LAVERAN","MARSEILLE CEDEX 13",13,13388
"0130051K","LYCEE TECHNOLOGIQUE","MARIE CURIE","16  BOULEVARD JEANNE D ARC","MARSEILLE CEDEX 05",13,13392
"0130053M","LYCEE POLYVALENT","JEAN PERRIN","74  RUE VERDILLON","MARSEILLE CEDEX 10",13,13395
"0130054N","LYCEE PROFESSIONNEL","POINSO-CHAPUIS","49  TRAVERSE PARANGON","MARSEILLE CEDEX 08",13,13272
"0130055P","LYCEE PROFESSIONNEL","CHATELIER (LE)","108  AVENUE ROGER SALENGRO","MARSEILLE",13,13003
"0110047S","LYCEE GENERAL PRIVE","JEANNE D ARC","47 RUE DE LA BAFFE","CASTELNAUDARY",11,11400
"0060668U","LYCEE GENERAL PRIVE","MONT SAINT JEAN","AVENUE DU CHATAIGNIER","ANTIBES",6,6600
"0060673Z","LYCEE GEN.ET TECHNOL.PRIVE","STANISLAS","1 PLACE STANISLAS","CANNES CEDEX",6,6414
"0060674A","LYCEE GEN.ET TECHNOL.PRIVE","FENELON","7 AVENUE YVES EMMANUEL BAUDOUIN","GRASSE",6,6130
"0060677D","LYCEE GEN.ET TECHNOL.PRIVE","SASSERNO","1  PLACE SASSERNO","NICE",6,6000
"0130160D","LYCEE GENERAL ET TECHNOLOGIQUE","EMPERI (L')","21  MONTÉE DU PUECH","SALON DE PROVENCE CEDEX",13,13657
"0130170P","LP LYCEE DES METIERS","VAUVENARGUES","60  BOULEVARD CARNOT","AIX EN PROVENCE",13,13100
"0120038B","LP LYCEE DES METIERS","FERDINAND FOCH","1  RUE VIEUSSENS","RODEZ",12,12000
"0130056R","LP LYCEE DES METIERS","FLORIDE (LA)","54  BOULEVARD GAY LUSSAC  ZIN 90","MARSEILLE",13,13014
"0110997Z","EMOP BUREAUTIQUE AUDIOVISUEL","LYCEE DENIS DIDEROT","2 RUE JEAN MOULIN","NARBONNE",11,11100
"0110814A","COURS PROMOTION PROF.","DU LYCEE TECHNIQUE NATIONALISE","RUE JEAN MOULIN","NARBONNE",11,11100
"0110823K","LP LYCEE DES METIERS","CHARLES CROS","1  RUE MICHEL VERGES","CARCASSONNE CEDEX 9",11,11870
"0071359P","LYCEE TECHNO PR","MARC SEGUIN","ROUTE DE CALIFORNIE","ANNONAY",7,7100
"0132861P","COURS DE PROMOTION SOCIALE","LYCEE MICHELET","21 AVENUE MARECHAL FOCH","MARSEILLE",13,13004
"0133274N","LYCEE PROFESSIONNEL PRIVE","JEANNE D ARC","5  CHEMIN SAINT ROCH","ARLES CEDEX",13,13632
"0133275P","LYCEE PROFESSIONNEL PRIVE","LA CADENELLE","134 boulevard DES LIBERATEURS","MARSEILLE",13,13012
"0121425J","LYCEE TECHNOLOGIQUE PRIVE","JEANNE D'ARC","3 PLACE DU MANDAROUS","MILLAU CEDEX",12,12104
"0121427L","LYCEE TECHNOLOGIQUE PRIVE","SAINTE-PROCULE","22 BOULEVARD DENYS PUECH","RODEZ",12,12000
"0121428M","LYCEE GENERAL ET TECHNO. PRIVE","LOUIS QUERBES","29 rue MAURICE BOMPARD","RODEZ",12,12000
"0131549N","LYCEE GENERAL ET TECHNOLOGIQUE","FREDERIC JOLIOT-CURIE","4  AVENUE DES GOUMS","AUBAGNE",13,13400
"0131324U","LYCEE GENERAL PRIVE","LACORDAIRE","7 BOULEVARD LACORDAIRE","MARSEILLE",13,13013
"0131325V","LYCEE GENERAL PRIVE","SACRE COEUR (DU)","22 RUE BARTHELEMY","MARSEILLE",13,13001
"0120621K","LYCEE GEN.ET TECHNOL.AGRICOLE","EPLA VILLEFRANCHE DE ROUERGUE",,"VILLEFRANCHE DE ROUERGUE C",12,12204
"0080066D","LYCEE PROFESSIONNEL","JEAN MOULIN","996 AVENUE DE LA CITE SCOLAIRE","REVIN",8,8500
"0131341M","LYCEE GENERAL PRIVE","NOTRE DAME DE SION","231  RUE PARADIS","MARSEILLE",13,13006
"0131342N","LYCEE GENERAL PRIVE","ST CHARLES CAMAS","21 rue DU CAMAS","MARSEILLE CEDEX 05",13,13392
"0120938E","LYCEE PROFESSIONNEL AGRICOLE","SAINT-AFFRIQUE","ROUTE DE BOURNAC","ST AFFRIQUE",12,12400
"0130045D","LYCEE GENERAL","MICHELET","21 AVENUE MARECHAL FOCH","MARSEILLE CEDEX 04",13,13248
"0100039N","LP LYCEE DES METIERS","LES LOMBARDS","12 AVENUE DES LOMBARDS","TROYES CEDEX",10,10003
"0133803N","ACHAT","LYCEE CEZANNE","AVENUE J ET M FONTENAILLE","AIX EN PROVENCE",13,13100
"0133804P","PAYE AED","LYCEE SAINT EXUPERY","529  CHEMIN DE LA MADRAGUE VILLE","MARSEILLE CEDEX 15",13,13326
"0130064Z","LP LYCEE DES METIERS","JEAN BAPTISTE BROCHIER","9  BOULEVARD MIREILLE LAUZE","MARSEILLE",13,13010
"0130065A","LP LYCEE DES METIERS","VISTE (LA)","30  TRAVERSE BONNET","MARSEILLE",13,13015
"0130067C","LYCEE PROFESSIONNEL","LAURENCIN MARIE",,"MARSEILLE",13,13014
"0120024L","LGT LYCEE DES METIERS","ALEXIS MONTEIL","14 RUE CARNUS","RODEZ CEDEX 9",12,12034
"0120025M","LPO LYCEE DES METIERS","JEAN JAURES","AVENUE JEAN JAURES","ST AFFRIQUE CEDEX",12,12401
"0120031U","LYCEE GENERAL ET TECHNOLOGIQUE","RAYMOND SAVIGNAC","1 rue AGNES SAVIGNAC","VILLEFRANCHE DE ROUERGUE",12,12200
"0131398Z","LYCEE TECHNOLOGIQUE PRIVE","MAXIMILIEN DE SULLY","52  RUE AUGUSTE BLANQUI","MARSEILLE",13,13006
"0131402D","LYCEE TECHNOLOGIQUE PRIVE","CHARLES PEGUY","102  RUE SYLVABELLE","MARSEILLE",13,13006
"0131403E","LYCEE TECHNOLOGIQUE PRIVE","ST VINCENT DE PAUL","30  RUE STANISLAS TORRENTS","MARSEILLE",13,13006
"0131684K","LYCEE TECHNOLOGIQUE PRIVE","JEANNE PERRIMOND","244  CHEMIN DU ROUCAS BLANC","MARSEILLE",13,13007
"0131327X","LYCEE GENERAL PRIVE","TOUR SAINTE (DE)","Avenue DE TOUR SAINTE  STE MARTH","MARSEILLE",13,13014
"0131328Y","LYCEE GENERAL PRIVE","MELIZAN","55  ROUTE DES CAMOINS","MARSEILLE",13,13011
"0131333D","LYCEE GENERAL PRIVE","NOTRE DAME DE FRANCE","132  RUE BRETEUIL","MARSEILLE CEDEX 06",13,13253
"0131335F","LYCEE GENERAL PRIVE","CHEVREUL BLANCARDE","1  RUE SAINT FRANCOIS DE SALES","MARSEILLE",13,13004
"0100046W","LYCEE GENERAL PRIVE","ST FRANCOIS DE SALES","11  RUE GENERAL SAUSSIER","TROYES",10,10000
"0100047X","LYCEE GENERAL PRIVE","ST BERNARD","8  RUE DU PALAIS DE JUSTICE","TROYES",10,10000
"0131656E","LYCEE TECHNOLOGIQUE AGRICOLE","AIX-VALABRE","CHEMIN MOULIN FORT","GARDANNE CEDEX",13,13548
"0100891P","LYCEE AGRICOLE PRIVE","DES CORDELIERS","29 RUE DES CORDELIERS","ARCIS SUR AUBE",10,10700
"0132300E","LYCEE TECHNOLOGIQUE PRIVE","JEANNE D ARC","5  CHEMIN SAINT ROCH","ARLES CEDEX",13,13632
"0131320P","LYCEE GENERAL PRIVE","STE CATHERINE DE SIENNE","20  RUE MIGNET","AIX EN PROVENCE",13,13100
"0131323T","LYCEE GENERAL PRIVE","PROVENCE (DE)","42 boulevard EMILE SICARD","MARSEILLE CEDEX 08",13,13272
"0100023W","LYCEE POLYVALENT","MARIE DE CHAMPAGNE","13 rue De la Reine Blanche","TROYES CEDEX",10,10026
"0100025Y","LYCEE POLYVALENT","LES LOMBARDS","12 avenue DES LOMBARDS","TROYES CEDEX",10,10003
"0100027A","LYCEE PROFESSIONNEL","MARIE DE CHAMPAGNE","2 AVENUE MARIE DE CHAMPAGNE","TROYES CEDEX",10,10026
"0131339K","LYCEE GEN.ET TECHNOL.PRIVE","ST JOSEPH DE LA MADELEINE","172 bis boulevard DE LA LIBERATI","MARSEILLE CEDEX 04",13,13248
"0133305X","LYCEE PROFESSIONNEL PRIVE","CLOVIS HUGUES","7 rue FERNAND DOL","AIX EN PROVENCE",13,13100
"0131738U","COURS DE PROMOTION SOCIALE","DU LYCEE TECHNIQUE NATIONALISE","54 BOULEVARD BERTHELOT","ARLES",13,13200
"0120867C","LYCEE PROFESS AGRICOLE PRIVE","FRANCOIS MARTY",,"MONTEILS",12,12200
"0133805R","EMPLOYEUR","LYCEE DENIS DIDEROT","23 BOULEVARD LAVERAN","MARSEILLE CEDEX 13",13,13388
"0130068D","LYCEE PROFESSIONNEL","CAMILLE JULLIAN","50  BOULEVARD DE LA BARASSE","MARSEILLE CEDEX 11",13,13396
"0130069E","LYCEE PROFESSIONNEL","KLEBER","28 AVENUE ROGER SALENGRO","MARSEILLE",13,13003
"0130071G","LP LYCEE DES METIERS","COLBERT","13  RUE CAPITAINE DESSEMOND","MARSEILLE CEDEX 07",13,13284
"0121225S","LYCEE D ENS.PROFESSIONN.PRIVE",,"39 QUARTIER LA PELONIE",,12,12110
"0120006S","LYCEE POLYVALENT","LA DECOUVERTE","AVENUE LEO LAGRANGE","DECAZEVILLE",12,12300
"0120022J","LYCEE GENERAL","FERDINAND FOCH","1  RUE VIEUSSENS","RODEZ",12,12000
"0131432L","LYCEE PROF PRIVE des METIERS"," ST ANDRE (LES ROUTIERS)","368  BOULEVARD HENRI  BARNIER","MARSEILLE",13,13016
"0131433M","LYCEE PROFESSIONNEL PRIVE","ST HENRI","37 CHEMIN DE BERNEX","MARSEILLE",13,13016
"0131434N","LYCEE PROFESSIONNEL PRIVE","ECOLE LIBRE DE METIERS","24  RUE DES BONS ENFANTS","MARSEILLE",13,13006
"0131437S","LYCEE PROFESSIONNEL PRIVE","PHOCEA R ATTOYAN (COIFFURE)","1  RUE D ARCOLE","MARSEILLE",13,13006
"0120937D","LYCEE GEN ET TECHNOL AGRICOLE","DE RODEZ",,"RODEZ CEDEX 9",12,12033
"0133276R","LYCEE PROF PRIVE des METIERS","CHARLES PEGUY","102  RUE SYLVABELLE","MARSEILLE",13,13006
"0133277S","LYCEE PROFESSIONNEL PRIVE","MODELE ELECTRONIQUE","233  BOULEVARD ST MARCEL","MARSEILLE",13,13011
"0131677C","LYCEE PROFESSIONNEL PRIVE","VIGIE (LA)","PLACE LA BASTIDE LA MAURELETTE","MARSEILLE",13,13015
"0131681G","LYCEE TECHNOLOGIQUE PRIVE","CHIMIE ET BIOLOGIE LA FORBINE","4  BOULEVARD DE LA FORBINE","MARSEILLE",13,13011
"0131715U","LYCEE PROFESSIONNEL AGRICOLE","LES ALPILLES","RUE EDOUARD HERIOT","ST REMY DE PROVENCE",13,13210
"0121157T","LYCEE PROFESSIONNEL","RAYMOND SAVIGNAC","1 rue AGNES SAVIGNAC","VILLEFRANCHE DE ROUERGUE",12,12200
"0132733A","LYCEE GENERAL ET TECHNOLOGIQUE","ANTONIN ARTAUD","25  CHEMIN N D DE LA CONSOLATION","MARSEILLE",13,13013
"0132916Z","LYCEE TECHNOLOGIQUE PRIVE","SACRE COEUR (DU)","29 RUE MANUEL","AIX EN PROVENCE",13,13100
"0132922F","LYCEE TECHNOLOGIQUE PRIVE","ST JEAN","76 avenue GEORGES BOREL","SALON DE PROVENCE",13,13300
"0071351F","LYCEE POLYVALENT","XAVIER MALLET","Rue FREDERIC MISTRAL","LE TEIL CEDEX",7,7401
"0080039Z","LYCEE POLYVALENT","PAUL VERLAINE","19 rue NORMANDIE NIEMEN","RETHEL CEDEX",8,8305
"0080045F","LYCEE GENERAL ET TECHNOLOGIQUE","PIERRE BAYLE","Rue ROGISSART","SEDAN",8,8200
"0080047H","LP LYCEE DES METIERS","JEAN-BAPTISTE CLEMENT","11 rue JEAN JAURES","SEDAN",8,8200
"0080048J","LP LYCEE DES METIERS","LE CHATEAU","1  PLACE DU CHATEAU","SEDAN CEDEX",8,8208
"0131344R","LYCEE GENERAL PRIVE","COURS BASTIDE","50  RUE DE LODI","MARSEILLE",13,13006
"0131345S","LYCEE GENERAL PRIVE","L'OLIVIER - ROBERT COFFY","29  AVENUE DES CAILLOLS","MARSEILLE",13,13012
"0131347U","LYCEE GENERAL PRIVE","STE TRINITE","55  AVENUE MARECHAL LATTRE TASSI","MARSEILLE",13,13009
"0131348V","LYCEE GENERAL PRIVE","SEVIGNE","1 AVENUE SAINT JEROME","MARSEILLE CEDEX 13",13,13388
"0131360H","LYCEE GENERAL PRIVE","VIALA LACOSTE","16 avenue GASTON CABRIER","SALON DE PROVENCE",13,13300
"0080053P","LYCEE GENERAL","THOMAS MASARYK","35 rue BOURNIZET","VOUZIERS",8,8400
"0121318T","LYCEE TECHNOLOGIQUE PRIVE","SAINT-JOSEPH","AVENUE ETIENNE SOULIE","VILLEFRANCHE DE ROUERGUE",12,12200
"0121310J","LYCEE PROFESSIONNEL PRIVE","JEANNE D'ARC","23 RUE LAMARTINE","ST AFFRIQUE CEDEX",12,12402
"0132193N","LYCEE PROFESSIONNEL PRIVE","EDMOND ROSTAND","114  RUE EDMOND ROSTAND","MARSEILLE",13,13006
"0132874D","COURS DE PROMOTION SOCIALE","LYCEE PAUL CEZANNE","AVENUE FONTENAILLE","AIX EN PROVENCE",13,13100
"0110984K","LYCEE ENST AGRICOLE PRIVE","LEZIGNAN-CORBIERES","8 AVENUE GEORGES CLEMENCEAU","LEZIGNAN CORBIERES",11,11200
"0110991T","EMOP ESPACES VERTS","LYCEE DENIS DIDEROT","2 RUE JEAN MOULIN","NARBONNE",11,11100
"0110992U","EMOP ELECTRICITE","LYCEE JULES FIL","BOULEVARD JOLIOT CURIE","CARCASSONNE CEDEX",11,11021
"0100034H","LYCEE PROFESSIONNEL","ANNEXE LP DE ROMILLY S SEINE","RUE DU GUE DE LA LOGE","NOGENT SUR SEINE",10,10400
"0142059M","LYCEE GENERAL","VICTOR HUGO","16 rue DEFENSE PASSIVE","CAEN CEDEX 5",14,14070
"0160047P","LYCEE PROFESSIONNEL","CHARLES A COULOMB","Allée JOACHIM DU BELLAY","ANGOULEME CEDEX",16,16016
"0160048R","LP LYCEE DES METIERS","PIERRE-ANDRE CHABANNE","28 rue BIR HAKEIM","CHASSENEUIL SUR BONNIEURE",16,16260
"0160049S","LP LYCEE DES METIERS","JEAN ROSTAND","12  RUE LOUISE LERIGET","ANGOULEME CEDEX",16,16023
"0133424B","LYCEE TECHNOLOGIQUE PRIVE","CAUCADIS","BOULEVARD ALFRED CASILE","VITROLLES",13,13127
"0120880S","CRS PROMOTION PROFESSIONNELLE","DU LYCEE MIXTE","RUE AGNES SAVIGNAC","VILLEFRANCHE DE ROUERGUE",12,12200
"0120881T","CRS PROMOTION PROFESSIONNELLE","DU LYCEE NATIONALISE MIXTE","ROUTE DE FAREYRES","DECAZEVILLE",12,12300
"0120884W","CRS PROMOTION PROFESSIONNELLE","DU LYCEE TECHNIQUE MONTEIL","RUE CARNUS","RODEZ",12,12000
"0141274J","LGT LYCEE DES METIERS","ARCISSE DE CAUMONT","3 rue BARON GERARD","BAYEUX CEDEX",14,14402
"0141275K","LGT LYCEE DES METIERS","PAUL CORNU","9  RUE PAUL CORNU","LISIEUX CEDEX",14,14107
"0141276L","LP LYCEE DES METIERS","PAUL CORNU","9 rue PAUL CORNU","LISIEUX CEDEX",14,14107
"0131709M","LYCEE PROFESSIONNEL","ADAM DE CRAPONNE","218  RUE CHATEAU REDON","SALON DE PROVENCE CEDEX",13,13665
"0133406G","LYCEE POLYVALENT","MEDITERRANEE (DE LA )","AVENUE MEDITERRANNEE","LA CIOTAT",13,13600
"0141807N","ECOLE 2D DEGRE GENERAL PRIVEE","LYCEE DU VAUGUEUX","33 RUE BASSE","CAEN",14,14000
"0130001F","LYCEE GENERAL ET TECHNOLOGIQUE","EMILE ZOLA","AVENUE ARC DE MEYRAN","AIX EN PROVENCE CEDEX 5",13,13181
"0130003H","LYCEE GENERAL ET TECHNOLOGIQUE","VAUVENARGUES","60  BOULEVARD CARNOT","AIX EN PROVENCE CEDEX 1",13,13625
"0130006L","LP LYCEE DES METIERS","GAMBETTA (COURS)","100 BIS COURS GAMBETTA","AIX EN PROVENCE",13,13100
"0130010R","LYCEE GENERAL","MONTMAJOUR","Chemin DES MOINES","ARLES CEDEX",13,13646
"0130011S","LT LYCEE DES METIERS","PASQUET","54 boulevard MARCELLIN BERTHELOT","ARLES",13,13200
"0130013U","LYCEE PROFESSIONNEL","GUSTAVE EIFFEL","5 avenue MANOUCHIAN","AUBAGNE",13,13400
"0131817E","ETABLISSEMENT EXPERIMENTAL","MENPENTI (LYCEE THIERS)","161 AVENUE DE TOULON","MARSEILLE",13,13010
"0132229C","CTRE DE PROMOTION SOCIALE","LYCEE MARIE-CURIE","BOULEVARD JEANNE D ARC","MARSEILLE",13,13005
"0133015G","LPO LYCEE DES METIERS","PIERRE MENDES FRANCE","AVENUE YITZHAK RABIN","VITROLLES CEDEX",13,13741
"0130025G","LYCEE PROFESSIONNEL","ETOILE (DE L')","14  RUE JULES FERRY","GARDANNE CEDEX",13,13541
"0130033R","LP LYCEE DES METIERS","LOUIS BLERIOT","8  BOULEVARD DE LA LIBERATION","MARIGNANE CEDEX",13,13721
"0130037V","LYCEE GENERAL ET TECHNOLOGIQUE","MARCEL PAGNOL","128  BOULEVARD DE SAINT LOUP","MARSEILLE CEDEX 10",13,13395
"0130038W","LYCEE GENERAL ET TECHNOLOGIQUE","MARSEILLEVEYRE","83  TRAVERSE PARANGON","MARSEILLE CEDEX 08",13,13285
"0130039X","LYCEE GENERAL ET TECHNOLOGIQUE","SAINT CHARLES","5 rue GUY FABRE","MARSEILLE CEDEX 01",13,13232
"0133314G","LYCEE GEN.ET TECHNOL.PRIVE","ST LOUIS - STE MARIE","ALLÉE SAINT LOUIS - RN 568","GIGNAC LA NERTHE",13,13180
"0130143K","LYCEE POLYVALENT","PAUL LANGEVIN","131  AVENUE DR ALEXANDER FLEMING","MARTIGUES CEDEX",13,13691
"0130146N","LP LYCEE DES METIERS","ALPILLES (LES)","RUE DES LAURIERS","MIRAMAS",13,13140
"0130150T","LP LYCEE DES METIERS","JEAN MOULIN","1  BOULEVARD MARCEL CACHIN","PORT DE BOUC",13,13110
"0133554T","LYCEE TECHNOLOGIQUE PRIVE","LE ROCHER","42  BOULEVARD LEDRU ROLLIN","SALON DE PROVENCE",13,13300
"0131445A","LYCEE PROFESSIONNEL PRIVE","CHARLOTTE GRAWITZ","20  CHEMIN CHATEAU GOMBERT","MARSEILLE",13,13013
"0131449E","LYCEE PROFESSIONNEL PRIVE","MARIE GASQUET","38  RUE DES ELECTRICIENS","MARSEILLE",13,13012
